Sr. No.,AMFI CODE,Scheme Name,
121,127073,HSBC Asia Pacific (Ex Japan) DYF-Reg(G),
122,115116,HSBC Brazil Fund(G),
123,133713,HSBC Global Consumer Opportunities Fund (HGCOF)-Reg(G),
124,107988,HSBC Global Emerging Markets Fund(G),
125,103407,HSBC Infra Equity Fund(G),
126,146771,HSBC Large & Mid Cap Equity Fund-Reg(G),
127,101594,HSBC Large Cap Equity Fund(G),
128,102252,HSBC Multi Cap Equity Fund(G),
129,103006,HSBC Small Cap Equity Fund(G),
130,104707,HSBC Tax Saver Equity Fund(G),
131,109445,ICICI Pru Banking & Fin Serv Fund(G),
132,146950,ICICI Pru Bharat Consumption Fund(G),
133,108466,ICICI Pru Bluechip Fund(G),
134,147661,ICICI Pru Commodities Fund(G),
135,129310,ICICI Pru Dividend Yield Equity Fund(G),
136,103312,ICICI Pru Exports & Services Fund(G),
137,100352,ICICI Pru FMCG Fund(G),
138,111957,ICICI Pru Focused Equity Fund(G),
139,147647,ICICI Pru Global Advantage Fund(FOF)(G),
140,123651,ICICI Pru Global Stable Equity Fund(FOF)(G),
141,113076,ICICI Pru Gold ETF,
142,145896,ICICI Pru India Opp Fund(G),
143,103149,ICICI Pru Infrastructure Fund(G),
144,100349,ICICI Pru Large & Mid Cap Fund(G),
145,100354,ICICI Pru LT Equity Fund (Tax Saving)(G),
146,145077,ICICI Pru Manufacture in India Fund(G),
147,102528,ICICI Pru Midcap Fund(G),
148,147345,ICICI Pru MNC Fund(G),
149,101228,ICICI Pru Multicap Fund(G),
150,101349,ICICI Pru Nifty Index Fund(G),
151,112957,ICICI Pru Nifty Next 50 Index Fund(G),
152,143873,ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),
153,141839,ICICI Pru Sensex Index Fund(G),
154,106823,ICICI Pru Smallcap Fund(G),
155,100363,ICICI Pru Technology Fund(G),
156,117620,ICICI Pru US Bluechip Equity Fund(G),
157,102594,ICICI Pru Value Discovery Fund(G),
158,143351,IDBI Banking & Financial Services Fund-Reg(G),
159,128235,IDBI Diversified Equity Fund(G),
160,145747,IDBI Dividend Yield Fund-Reg(G),
161,123638,IDBI Equity Advantage Fund-Reg(G),
162,141919,IDBI Focused 30 Equity Fund-Reg(G),
163,115939,IDBI Gold ETF,
164,146518,IDBI Healthcare Fund-Reg(G),
165,117311,IDBI India Top 100 Equity Fund(G),
166,144453,IDBI Long Term Value Fund-Reg(G),
167,140460,IDBI Midcap Fund(G),
168,113063,IDBI Nifty Index Fund(G),
169,113249,IDBI Nifty Junior Index Fund(G),
170,141462,IDBI Small Cap Fund(G),
171,108596,IDFC Core Equity Fund-Reg(G),
172,147944,IDFC Emerging Businesses Fund-Reg(G),
173,108592,IDFC Focused Equity Fund-Reg(G),
174,114476,IDFC Infrastructure Fund-Reg(G),
175,108799,IDFC Large Cap Fund-Reg(G),
176,108594,IDFC Multi Cap Fund-Reg(G),
177,112877,IDFC Nifty Fund-Reg(G),
178,108909,IDFC Sterling Value Fund-Reg(G),
179,111569,IDFC Tax Advt(ELSS) Fund-Reg(G),
180,131578,IIFL Focused Equity Fund-Reg(G),
181,116547,Indiabulls Blue Chip Fund(G),
182,141862,Indiabulls Tax Savings Fund-Reg(G),
183,135343,Indiabulls Value Fund-Reg(G),
184,105460,Invesco India Contra Fund(G),
185,129187,Invesco India Feeder - Invesco Global Equity Income Fund(G),
186,126351,Invesco India Feeder - Invesco Pan European Equity Fund-Reg(G),
187,108378,Invesco India Financial Services Fund(G),
188,112368,Invesco India Gold ETF,
189,106144,Invesco India Growth Opp Fund(G),
190,106654,Invesco India Infrastructure Fund(G),
191,112098,Invesco India Largecap Fund(G),
192,105503,Invesco India Midcap Fund(G),
193,107353,Invesco India Multicap Fund(G),
194,112171,Invesco India PSU Equity Fund(G),
195,145139,Invesco India Smallcap Fund-Reg(G),
196,104636,Invesco India Tax Plan(G),
197,147544,ITI Long Term Equity Fund-Reg(G),
198,147184,ITI Multi-Cap Fund-Reg(G),
199,147920,ITI Small Cap Fund-Reg(G),
200,107410,JM Core 11 Fund(G),
201,100219,JM Large Cap Fund(G),
202,109522,JM Multicap Fund(G),
203,107288,JM Tax Gain Fund(G),
204,100254,JM Value Fund(G),
205,114458,Kotak Bluechip Fund(G),
206,104908,Kotak Emerging Equity Fund(G),
207,103234,Kotak Equity Opp Fund(G),
208,147477,Kotak Focused Equity Fund-Reg(G),
209,106441,Kotak Global Emerging Mkt Fund(G),
210,106193,Kotak Gold ETF,
211,103040,Kotak India EQ Contra Fund(G),
212,133796,Kotak Infra & Eco Reform Fund(G),
213,147724,Kotak Pioneer Fund-Reg(G),
214,102875,Kotak Small Cap Fund(G),
215,112090,Kotak Standard Multicap Fund(G),
216,103339,Kotak Tax Saver Fund(G),
217,130827,L&T Business Cycle Fund-Reg(G),
218,129223,L&T Emerging Businesses Fund-Reg(G),
219,118043,L&T Equity Fund-Reg(G),
220,145378,L&T Focused Equity Fund-Reg(G),
221,118069,L&T India Large Cap Fund-Reg(G),
222,118102,L&T India Value Fund-Reg(G),
223,112600,L&T Infrastructure Fund-Reg(G),
224,118049,L&T Large and Midcap Fund-Reg(G),
225,112496,L&T Midcap Fund-Reg(G),
226,148361,L&T Nifty 50 Index Fund-Reg(G),
227,148365,L&T Nifty Next 50 Index Fund-Reg(G),
228,118047,L&T Tax Advt Fund-Reg(G),
229,134016,LIC MF Banking & Financial Services Fund-Reg(G),
230,101201,LIC MF Index Fund-Nifty Plan(G),
231,101199,LIC MF Index Fund-Sensex Plan(G),
232,107763,LIC MF Infra Fund(G),
233,133711,LIC MF Large & Midcap Fund-Reg(G),
234,106871,LIC MF Large Cap Fund(G),
235,100313,LIC MF Multi Cap Fund(G),
236,100865,LIC MF Tax Plan(G),
237,139783,Mahindra Manulife ELSS Kar Bachat Yojana-Reg(G),
238,146551,Mahindra Manulife Large Cap Pragati Yojana-Reg(G),
239,142109,Mahindra Manulife Mid Cap Unnati Yojana-Reg(G),
240,141224,Mahindra Manulife Multi Cap Badhat Yojana-Reg(G),
241,145355,Mahindra Manulife Rural Bharat and Consumption Yojana-Reg(G),
242,147843,Mahindra Manulife Top 250 Nivesh Yojana-Reg(G),
243,112932,Mirae Asset Emerging Bluechip-Reg(G),
244,147203,Mirae Asset Focused Fund-Reg(G),
245,114931,Mirae Asset Great Consumer Fund-Reg(G),
246,143785,Mirae Asset Healthcare Fund-Reg(G),
247,107578,Mirae Asset Large Cap Fund-Reg(G),
248,147479,Mirae Asset Midcap Fund-Reg(G),
249,135784,Mirae Asset Tax Saver Fund-Reg(G),
250,122387,Motilal Oswal Focused 25 Fund-Reg(G),
251,147701,Motilal Oswal Large & Midcap Fund-Reg(G),
252,133385,Motilal Oswal Long Term Equity Fund-Reg(G),
253,127039,Motilal Oswal Midcap 30 Fund-Reg(G),
254,129048,Motilal Oswal Multicap 35 Fund-Reg(G),
255,145551,Motilal Oswal Nasdaq 100 FOF-Reg(G),
256,147795,Motilal Oswal Nifty 50 Index Fund-Reg(G),
257,147626,Motilal Oswal Nifty 500 Fund-Reg(G),
258,147619,Motilal Oswal Nifty Bank Index Fund-Reg(G),
259,147621,Motilal Oswal Nifty Midcap 150 Index Fund-Reg(G),
260,147797,Motilal Oswal Nifty Next 50 Index Fund-Reg(G),
261,147624,Motilal Oswal Nifty Smallcap 250 Index Fund-Reg(G),
262,148382,Motilal Oswal S&P 500 Index Fund-Reg(G),
263,101862,Nippon India Banking Fund(G),
264,102751,Nippon India Consumption Fund(G),
265,140088,Nippon India ETF Gold BeES,
266,104637,Nippon India Focused Equity Fund(G),
267,100377,Nippon India Growth Fund(G),
268,113296,Nippon India Index Fund - Nifty Plan(G),
269,113269,Nippon India Index Fund - Sensex Plan(G),
270,130863,Nippon India Japan Equity Fund(G),
271,106235,Nippon India Large Cap Fund(G),
272,101161,Nippon India Multi Cap Fund(G),
273,102431,Nippon India Pharma Fund(G),
274,101262,Nippon India Power & Infra Fund(G),
275,108249,Nippon India Quant Fund(G),
276,113177,Nippon India Small Cap Fund(G),
277,103196,Nippon India Tax Saver (ELSS) Fund(G),
278,103085,Nippon India Value Fund(G),
279,100380,Nippon India Vision Fund(G),
280,122640,Parag Parikh Long Term Equity Fund-Reg(G),
281,147482,Parag Parikh Tax Saver Fund-Reg(G),
282,133836,PGIM India Diversified Equity Fund-Reg(G),
283,138453,PGIM India Euro Equity Fund(G),
284,138523,PGIM India Global Equity Opp Fund(G),
285,138308,PGIM India Large Cap Fund(G),
286,135598,PGIM India LT Equity Fund-Reg(G),
287,125305,PGIM India Midcap Opp Fund-Reg(G),
288,102807,Principal Dividend Yield Fund(G),
289,111381,Principal Emerging Bluechip Fund(G),
290,103335,Principal Focused Multicap Fund(G),
291,102337,Principal Global Opportunities Fund(G),
292,147779,Principal Midcap Fund-Reg(G),
293,100967,Principal Multi Cap Growth Fund(G),
294,100153,Principal Nifty 100 Equal Weight Fund(G),
295,101815,Principal Personal Tax saver Fund,
296,147129,Principal Small Cap Fund-Reg(G),
